"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"1331","Rectum & rectosigmoid",12.2,13.3,10,17.4,8,17.6,12.3,24.5,4.2,8.7,5.2,13.8,3,3,1.6,5.1,1.4,2.9,1.1,6.4,1.6,3,1.3,6.3,"Sullivan"
"1332","Liver / intrahepatic bile duct",11.4,9.8,7.4,12.9,9.6,16.8,12.3,22.7,1.8,2.9,1.3,6,6.2,5.4,3.6,7.8,4.8,8.4,5.3,12.9,1.4,2.4,1,5.5,"Sullivan"
"1333","Pancreas",17.2,16.1,12.8,20.1,9.6,17.5,12.7,23.6,7.6,14.3,10,20.1,13.8,13.2,10.2,17,7.2,13.8,9.6,19.6,6.6,12.5,8.5,18.1,"Sullivan"
"1334","Larynx",4.2,4,2.4,6.3,3,6.1,3.4,10.4,1.2,2.1,0.8,5,0.8,0.8,0.2,2.2,0.6,1.2,0.2,4,0.2,0.4,0,2.8,"Sullivan"
"1335","Lung and bronchus",70.6,66.1,59.2,73.6,35.8,70,59.8,81.5,34.8,63,53.8,73.5,49.2,46.1,40.4,52.4,26.8,53.3,44.4,63.6,22.4,39.4,32.3,47.8,"Sullivan"
"1336","Melanoma of the skin",17.2,17.7,14,22.2,11.4,22.2,16.6,29.3,5.8,13.6,8.8,20.1,2.2,2.1,1,4,1.4,2.9,1.1,6.4,0.8,1.4,0.4,4.2,"Sullivan"
"1337","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,57.8,115.6,102,130.7,NA,NA,NA,NA,NA,NA,NA,NA,11.8,24.3,18.4,31.8,"Sullivan"
"1338","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.2,9.4,5.6,15,NA,NA,NA,NA,NA,NA,NA,NA,2.4,5.5,2.7,10,"Sullivan"
"1339","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.6,39.2,31.4,48.5,NA,NA,NA,NA,NA,NA,NA,NA,2.6,5.2,2.8,9.2,"Sullivan"
"1340","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,10.9,6.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,3,5.5,3,9.5,"Sullivan"
"1341","Prostate",NA,NA,NA,NA,44.6,79.8,69.4,91.5,NA,NA,NA,NA,NA,NA,NA,NA,6.8,15.6,10.6,22.1,NA,NA,NA,NA,"Sullivan"
"1342","Testis",NA,NA,NA,NA,1.8,4.6,2.1,9,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,0,2.6,NA,NA,NA,NA,"Sullivan"
"1343","Urinary bladder (incl. in situ)",26,25.6,21.4,30.6,21.2,45.5,37,55.5,4.8,9,5.7,13.7,3.6,3.6,2.1,5.8,3.4,7.6,4.3,12.4,0.2,0.4,0,2.6,"Sullivan"
"1344","Kidney and renal pelvis",16.4,16.3,12.8,20.5,9.8,19.6,14.3,26.4,6.6,13.2,8.9,19,4.8,4.8,3,7.3,3.2,7,3.9,11.6,1.6,2.8,1.2,6,"Sullivan"
"1345","Brain and other central nervous system",6.2,7,4.7,10.1,4.2,9.6,5.8,14.9,2,4.7,2.2,9,4.2,4.4,2.7,6.9,2.8,6.3,3.3,10.9,1.4,2.4,1,5.5,"Sullivan"
"1346","Thyroid",14,16.5,12.7,21.1,3.2,7.5,4.2,12.6,10.8,26.2,19.3,34.6,0.2,0.1,0,1.2,0.2,0.3,0,2.4,0,0,0,2.1,"Sullivan"
"1347","Hodgkin lymphoma",1.6,2.1,0.9,4.2,1.2,2.9,1,6.5,0.4,1.3,0.1,4.5,0,0,0,1,0,0,0,2,0,0,0,2.1,"Sullivan"
"1348","Non-Hodgkin lymphomas",18.2,18.5,14.8,23,9.2,18.9,13.6,25.6,9,19.1,13.7,26.1,3.4,3.5,2,5.8,2.6,5.6,2.9,9.9,0.8,1.7,0.4,4.7,"Sullivan"
"1349","Myeloma",9.2,8.8,6.4,11.9,5.6,10.4,6.8,15.4,3.6,7.1,4.1,11.5,1.6,1.8,0.8,3.6,0.8,2,0.5,5.4,0.8,1.8,0.5,4.8,"Sullivan"
"1350","Leukemias",13,13.8,10.5,17.8,7.4,16.4,11.3,23,5.6,11.5,7.5,17.1,6.6,6.6,4.5,9.4,3.8,8.7,5.1,13.8,2.8,5,2.7,8.8,"Sullivan"
"1351","All Invasive Malignant Tumors",344.2,504.1,479.5,529.8,177.8,533.7,497.9,571.6,166.4,482,447.9,518.3,93,128.4,116.8,141.1,48.8,146,127.9,166.3,44.2,114,99,130.9,"Tioga"
"1352","Oral cavity and pharynx",7.6,10.8,7.5,15.2,6.4,19,12.7,27.6,1.2,2.6,1,6.6,0.6,0.8,0.2,2.7,0.6,1.6,0.3,5.6,0,0,0,3.2,"Tioga"
"1353","Esophagus",3.4,4.5,2.6,7.6,2.6,7.4,3.9,13.2,0.8,2,0.5,6,2.8,3.8,2.1,6.6,2.6,7.7,4,13.6,0.2,0.5,0,4,"Tioga"
"1354","Stomach",4.4,5.8,3.6,9.1,3.2,8.6,4.9,14.6,1.2,3.3,1.1,7.9,1.2,1.8,0.6,4.2,0.8,2.4,0.6,7,0.4,1.1,0.1,4.9,"Tioga"
"1355","Colorectal",27,39.3,32.7,47,15.4,47.9,37.4,60.7,11.6,30.9,23.2,40.7,9.6,12.9,9.5,17.4,4.8,14,8.9,21.3,4.8,12,7.6,18.5,"Tioga"
"1356","Colon excluding rectum",18.4,26.5,21.2,32.9,10.2,31.2,22.9,41.7,8.2,21.8,15.4,30.4,7,9.3,6.5,13.2,3.4,9.7,5.6,16.1,3.6,8.9,5.2,14.7,"Tioga"
"1357","Rectum & rectosigmoid",8.6,12.8,9.1,17.6,5.2,16.7,10.7,25.2,3.4,9.1,5.2,15.2,2.6,3.6,1.9,6.4,1.4,4.2,1.7,9.3,1.2,3.1,1.1,7.5,"Tioga"
"1358","Liver / intrahepatic bile duct",6,8,5.3,11.8,4.2,11.8,7.1,18.9,1.8,4.5,2,9.2,3,4.4,2.4,7.5,2.2,7.1,3.4,13.4,0.8,2,0.5,6,"Tioga"
"1359","Pancreas",7.8,10.6,7.5,14.9,3.8,11.8,6.9,19.1,4,9.6,5.8,15.4,7,9.6,6.6,13.6,3,9,4.9,15.5,4,9.9,6,16,"Tioga"
"1360","Larynx",2.4,3.6,1.8,6.6,2.2,6.4,3.1,12.1,0.2,0.9,0,5,0.4,0.7,0.1,2.8,0.4,1.4,0.1,5.6,0,0,0,3.2,"Tioga"
"1361","Lung and bronchus",47.8,65.6,57.4,74.9,25.2,72.8,60.5,87.2,22.6,59.9,49,72.9,28,37.7,31.6,44.8,14.2,41.4,32.2,52.7,13.8,34.8,26.9,44.7,"Tioga"
"1362","Melanoma of the skin",19.6,30.1,24.2,37.1,13,41.7,31.8,53.8,6.6,19.6,13.1,28.4,1,1.8,0.6,4.5,0.4,1.3,0.2,5.3,0.6,2.4,0.4,7.4,"Tioga"
"1363","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,50,147.6,128.7,168.5,NA,NA,NA,NA,NA,NA,NA,NA,5,14.2,8.9,22,"Tioga"
"1364","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,9.8,4.9,17.4,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.4,0.3,5.1,"Tioga"
"1365","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,12.6,34.6,26.3,45,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.7,1.4,8.5,"Tioga"
"1366","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,3.4,8.9,5.1,15,NA,NA,NA,NA,NA,NA,NA,NA,2,5.2,2.5,10.2,"Tioga"
"1367","Prostate",NA,NA,NA,NA,38.4,102.5,88.3,118.6,NA,NA,NA,NA,NA,NA,NA,NA,6,17.9,12.1,26.1,NA,NA,NA,NA,"Tioga"
"1368","Testis",NA,NA,NA,NA,2.2,10.6,5.2,19.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.2,NA,NA,NA,NA,"Tioga"
"1369","Urinary bladder (incl. in situ)",22.2,30.2,24.8,36.7,17.4,50.7,40.4,63.1,4.8,12.3,7.8,18.9,3,4,2.2,6.9,2,5.4,2.6,10.6,1,2.6,0.8,6.9,"Tioga"
"1370","Kidney and renal pelvis",9.8,14.6,10.7,19.7,5.6,17.8,11.6,26.4,4.2,11.8,7.2,18.7,2.4,3.5,1.8,6.4,1.2,3.8,1.3,8.9,1.2,3.2,1.2,7.7,"Tioga"
"1371","Brain and other central nervous system",3,5.3,2.9,9,2,7.9,3.7,14.8,1,2.7,0.8,7.2,1.8,2.6,1.2,5.3,1.2,3.9,1.4,9,0.6,1.4,0.3,5.1,"Tioga"
"1372","Thyroid",11.2,21.6,15.9,28.5,2.8,9.1,4.8,16,8.4,34.2,24.1,47,0.2,0.3,0,2,0.2,0.6,0,4.1,0,0,0,3.2,"Tioga"
"1373","Hodgkin lymphoma",0.8,1.7,0.4,4.5,0.6,2.9,0.6,8.4,0.2,0.4,0,3.8,0,0,0,1.6,0,0,0,3.2,0,0,0,3.2,"Tioga"
"1374","Non-Hodgkin lymphomas",11.8,18.3,13.7,24,7.6,24.4,17,34.3,4.2,12.7,7.7,20.2,2.8,3.8,2.1,6.7,1.6,4.7,2,9.9,1.2,3.1,1.1,7.5,"Tioga"
"1375","Myeloma",5,6.9,4.4,10.4,2.2,6.4,3.2,12.1,2.8,7.5,4.1,13.2,1.2,1.6,0.6,3.9,0.8,2.2,0.6,6.5,0.4,1,0.1,4.7,"Tioga"
"1376","Leukemias",12.8,19.5,14.8,25.4,7.8,25.3,17.7,35.4,5,14.7,9.2,22.4,2.8,3.6,2,6.4,1.8,5.4,2.4,10.8,1,2.4,0.8,6.5,"Tioga"
"1377","All Invasive Malignant Tumors",455.8,429.2,411.1,447.9,222,451.2,424,479.7,233.8,416.8,392.3,442.6,151.4,141.6,131.4,152.5,72.4,153.9,138,171.3,79,135,121.5,149.6,"Tompkins"
"1378","Oral cavity and pharynx",11,10,7.5,13.2,7.6,14.9,10.4,20.7,3.4,5.8,3.3,9.6,1.6,1.4,0.6,2.9,1.4,2.7,1,5.8,0.2,0.4,0,2.5,"Tompkins"
"1379","Esophagus",7.6,6.7,4.7,9.3,5.6,11.1,7.2,16.3,2,3.3,1.6,6.4,4.8,4.2,2.6,6.3,3.4,6.8,3.9,11.2,1.4,2,0.8,4.6,"Tompkins"
"1380","Stomach",5.2,5.7,3.7,8.5,3.4,8,4.6,12.9,1.8,3.7,1.6,7.1,2.2,2.4,1.1,4.3,1,2.5,0.8,5.8,1.2,2.1,0.7,4.8,"Tompkins"
"1381","Colorectal",23,22.5,18.4,27.2,11.6,23.4,17.6,30.7,11.4,21.2,15.9,27.8,9.6,9.1,6.6,12.2,4.8,9.4,5.9,14.3,4.8,9.2,5.8,14,"Tompkins"
"1382","Colon excluding rectum",17.4,17,13.5,21.1,8.2,16.9,12,23.2,9.2,16.9,12.2,22.9,8.4,7.9,5.6,10.8,3.8,7.2,4.2,11.5,4.6,8.7,5.4,13.4,"Tompkins"
"1383","Rectum & rectosigmoid",5.6,5.5,3.5,8.1,3.4,6.5,3.7,10.8,2.2,4.3,2.1,8,1.2,1.2,0.4,2.7,1,2.2,0.7,5.4,0.2,0.5,0,2.6,"Tompkins"
"1384","Liver / intrahepatic bile duct",5.6,5.1,3.3,7.5,3.8,7.5,4.4,12.1,1.8,3.1,1.4,6.1,6.2,5.3,3.5,7.6,4.2,8,4.8,12.5,2,3,1.4,5.9,"Tompkins"
"1385","Pancreas",17,16,12.7,19.9,7.2,15,10.3,21,9.8,16.8,12.3,22.6,12.8,11.9,9.1,15.3,5.4,11.5,7.4,17,7.4,12,8.4,16.9,"Tompkins"
"1386","Larynx",2,1.6,0.8,3.1,1.8,3,1.3,6.1,0.2,0.4,0,2.5,1.2,1.2,0.4,2.8,1.2,2.7,0.9,6.1,0,0,0,1.8,"Tompkins"
"1387","Lung and bronchus",56.4,52.2,46.1,58.9,27.8,57.6,48.1,68.5,28.6,49,41.1,58.1,34,32,27.2,37.4,18.6,39.2,31.4,48.4,15.4,26.7,21,33.7,"Tompkins"
"1388","Melanoma of the skin",23.6,21.6,17.8,26.1,13.6,27.2,21,34.9,10,17.2,12.5,23.1,2.2,1.8,0.9,3.4,1.4,2.9,1.1,6.2,0.8,1.4,0.3,3.9,"Tompkins"
"1389","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,73.2,136.2,122,151.6,NA,NA,NA,NA,NA,NA,NA,NA,12.2,21.4,16.2,27.9,"Tompkins"
"1390","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2,4.1,1.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.6,0.4,4.4,"Tompkins"
"1391","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15.8,25.8,20.2,32.6,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.2,1.4,6.3,"Tompkins"
"1392","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,7.4,13.5,9.3,19.1,NA,NA,NA,NA,NA,NA,NA,NA,4.2,6.5,4,10.3,"Tompkins"
"1393","Prostate",NA,NA,NA,NA,54,100.1,88.1,113.4,NA,NA,NA,NA,NA,NA,NA,NA,7.4,16.8,11.8,23.4,NA,NA,NA,NA,"Tompkins"
"1394","Testis",NA,NA,NA,NA,3,7.2,3.9,12.1,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,0,2.6,NA,NA,NA,NA,"Tompkins"
"1395","Urinary bladder (incl. in situ)",22.2,21.6,17.6,26.1,16.4,36.7,28.9,45.8,5.8,10.4,6.8,15.3,4,3.9,2.4,6.2,2.6,6,3.2,10.5,1.4,2.4,0.9,5.3,"Tompkins"
"1396","Kidney and renal pelvis",12.2,11.6,8.8,15.1,8.2,16.6,11.7,22.9,4,7.5,4.5,11.7,3.4,3.2,1.8,5.3,2.6,5.6,2.9,9.9,0.8,1.5,0.4,4,"Tompkins"
"1397","Brain and other central nervous system",7.6,7.3,5.1,10.2,5,10.4,6.5,15.8,2.6,4.5,2.3,7.9,6.8,6.5,4.4,9.3,3.8,8,4.7,12.7,3,5.3,2.9,9.1,"Tompkins"
"1398","Thyroid",10.8,10.7,7.9,14.1,3.4,6.4,3.6,10.7,7.4,14.6,10.1,20.5,0.6,0.6,0.1,1.8,0.2,0.6,0,3,0.4,0.5,0.1,2.4,"Tompkins"
"1399","Hodgkin lymphoma",3.6,3.7,2.1,6,1.8,4,1.7,7.9,1.8,3.4,1.5,6.7,0.4,0.5,0.1,1.7,0,0,0,1.9,0.4,0.9,0.1,3.3,"Tompkins"
"1400","Non-Hodgkin lymphomas",19.2,18.6,15,22.9,10.2,22.1,16.2,29.3,9,15.7,11.3,21.3,4,3.9,2.3,6.1,1.8,3.8,1.7,7.4,2.2,3.8,1.8,7,"Tompkins"
"1401","Myeloma",9.4,8.4,6.1,11.3,5,10.1,6.4,15.1,4.4,7.1,4.4,11.1,3.6,3.1,1.8,5.1,2.4,4.9,2.4,8.8,1.2,1.8,0.6,4.2,"Tompkins"
"1402","Leukemias",18,16.8,13.4,20.9,9.4,20.7,15,27.8,8.6,14.3,10.2,19.6,7.6,7.4,5.2,10.2,3.4,8,4.6,12.9,4.2,7.4,4.5,11.5,"Tompkins"
"1403","All Invasive Malignant Tumors",1152.8,464.7,452.3,477.4,587.4,499.8,481.3,519,565.4,443.4,426.3,461.1,394,155.3,148.3,162.5,201.6,177.1,166,188.7,192.4,138.9,130,148.4,"Ulster"
"1404","Oral cavity and pharynx",39.6,15.1,13,17.4,27.6,22,18.4,26.2,12,8.9,6.7,11.6,4.2,1.6,1,2.6,3.2,2.9,1.6,4.8,1,0.7,0.2,2,"Ulster"
"1405","Esophagus",15,5.6,4.4,7.1,11,8.8,6.6,11.7,4,2.6,1.6,4.3,12.2,4.8,3.6,6.2,8.6,7.4,5.3,10.1,3.6,2.3,1.4,3.9,"Ulster"
"1406","Stomach",16.8,6.8,5.4,8.5,10.8,9.2,6.9,12.2,6,4.8,3.2,7.1,5,1.9,1.2,2.9,3.2,2.8,1.6,4.8,1.8,1.2,0.5,2.4,"Ulster"
"1407","Colorectal",94,38.7,35.2,42.5,47.6,42.4,37,48.4,46.4,35.6,30.9,40.8,32.8,13.2,11.2,15.4,15.8,14.1,11.1,17.7,17,12.3,9.7,15.4,"Ulster"
"1408","Colon excluding rectum",65.6,27.1,24.2,30.4,31.8,29.1,24.6,34.2,33.8,25.6,21.7,30.1,25.4,10.2,8.5,12.2,12,10.6,8.1,13.9,13.4,9.7,7.5,12.5,"Ulster"
"1409","Rectum & rectosigmoid",28.4,11.6,9.7,13.7,15.8,13.3,10.5,16.8,12.6,10,7.5,13.1,7.4,3,2.1,4.2,3.8,3.5,2,5.5,3.6,2.6,1.5,4.3,"Ulster"
"1410","Liver / intrahepatic bile duct",28.4,10.5,8.8,12.5,22.8,17.6,14.4,21.4,5.6,4.2,2.7,6.3,18.6,7.1,5.7,8.8,13.8,11.2,8.6,14.4,4.8,3.5,2.2,5.4,"Ulster"
"1411","Pancreas",33.8,13.4,11.4,15.7,17.6,14.9,11.9,18.6,16.2,12,9.4,15.1,27.4,10.5,8.7,12.4,14.8,12.2,9.5,15.5,12.6,9,6.8,11.6,"Ulster"
"1412","Larynx",6.8,2.5,1.7,3.6,5.6,4.3,2.8,6.4,1.2,0.8,0.3,2,1.8,0.7,0.3,1.5,1.2,1,0.4,2.4,0.6,0.5,0.1,1.6,"Ulster"
"1413","Lung and bronchus",169.2,64.7,60.3,69.4,83.8,69.4,62.8,76.7,85.4,60.6,54.9,66.9,102,40,36.5,43.8,52.6,44.7,39.4,50.7,49.4,36,31.5,41,"Ulster"
"1414","Melanoma of the skin",38,16.4,14.1,19.1,20.4,19,15.3,23.3,17.6,15.2,12,19,5.8,2.5,1.6,3.6,2.8,2.4,1.3,4.2,3,2.5,1.3,4.4,"Ulster"
"1415","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,152.4,121.6,112.6,131.1,NA,NA,NA,NA,NA,NA,NA,NA,26,18.6,15.4,22.3,"Ulster"
"1416","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7,7,4.8,10,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.8,0.9,3.4,"Ulster"
"1417","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,42.4,31.4,27.2,36.2,NA,NA,NA,NA,NA,NA,NA,NA,7.6,5.8,4,8.2,"Ulster"
"1418","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,13.8,11.5,8.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,7.4,5.6,3.9,7.9,"Ulster"
"1419","Prostate",NA,NA,NA,NA,123.6,96.1,88.5,104.3,NA,NA,NA,NA,NA,NA,NA,NA,19.2,18.1,14.6,22.2,NA,NA,NA,NA,"Ulster"
"1420","Testis",NA,NA,NA,NA,6.2,7.1,4.8,10.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.9,NA,NA,NA,NA,"Ulster"
"1421","Urinary bladder (incl. in situ)",65.2,25.5,22.8,28.6,49.4,43.2,37.9,49.2,15.8,11.3,8.9,14.3,13.6,5.2,4,6.7,10,9.2,6.8,12.2,3.6,2.3,1.3,3.8,"Ulster"
"1422","Kidney and renal pelvis",34.8,14.3,12.2,16.7,22.2,18.4,15,22.3,12.6,10.6,8,13.9,8.2,3.3,2.4,4.6,4.6,4,2.5,6.2,3.6,2.7,1.5,4.5,"Ulster"
"1423","Brain and other central nervous system",17,7.8,6.2,9.8,10,9.4,6.9,12.6,7,6.2,4.2,8.9,8.8,3.7,2.6,5,4,3.7,2.2,5.9,4.8,3.6,2.2,5.5,"Ulster"
"1424","Thyroid",32.4,16.2,13.6,19,8.8,8,5.7,10.9,23.6,24.6,20.1,29.8,1.6,0.6,0.3,1.3,0.8,0.7,0.2,2,0.8,0.5,0.1,1.7,"Ulster"
"1425","Hodgkin lymphoma",6.8,3.5,2.4,4.9,3.6,3.7,2.1,5.9,3.2,3.3,1.8,5.5,1,0.4,0.1,1,1,0.8,0.2,2.1,0,0,0,0.9,"Ulster"
"1426","Non-Hodgkin lymphomas",52.2,21.7,19.1,24.7,30.6,27.4,23.1,32.4,21.6,17.5,14.2,21.5,13.6,5.2,4,6.7,8.8,7.9,5.7,10.7,4.8,3.3,2,5.1,"Ulster"
"1427","Myeloma",18.2,7.3,5.8,9.1,12.4,10.8,8.2,14.1,5.8,4.5,2.9,6.6,7.4,2.7,1.9,3.9,3.8,3.3,2,5.3,3.6,2.4,1.4,4,"Ulster"
"1428","Leukemias",40,16.3,14,18.9,23.6,20.8,17.1,25.1,16.4,12.5,9.7,15.8,17,6.9,5.5,8.7,10,9.4,6.9,12.6,7,5.1,3.5,7.4,"Ulster"
"1429","All Invasive Malignant Tumors",518.6,540.6,518.9,563.1,259.4,566.4,534.7,599.6,259.2,522.4,492.3,554.1,180,177.4,165.7,189.9,98.2,214.2,195.1,235,81.8,145.9,131.7,161.7,"Warren"
"1430","Oral cavity and pharynx",14.2,15.5,11.9,19.8,8.2,18.7,13.2,26,6,12.3,8.2,18.2,4,4,2.4,6.4,3.2,6.8,3.9,11.6,0.8,1.5,0.4,4.5,"Warren"
"1431","Esophagus",8.4,8.5,6.1,11.8,6.8,14.3,9.8,20.5,1.6,3.3,1.4,7.1,6,5.9,4,8.7,4,8.3,5,13.4,2,3.8,1.8,7.6,"Warren"
"1432","Stomach",4.8,4.8,3.1,7.4,3.8,8.5,5,13.7,1,1.6,0.5,4.6,3.4,3.5,2,5.9,2,4.9,2.2,9.5,1.4,2.2,0.9,5.3,"Warren"
"1433","Colorectal",36,40,34,46.8,17.8,42.5,33.7,53.1,18.2,37.5,29.6,47,14.2,14.6,11.2,18.8,6.6,15.7,10.5,22.7,7.6,13.3,9.3,18.9,"Warren"
"1434","Colon excluding rectum",25.6,27.7,22.8,33.4,12.4,29.3,22.1,38.2,13.2,26.2,19.8,34.2,9.6,9.8,7.1,13.3,4.8,11.5,7.2,17.7,4.8,8.1,5.1,12.7,"Warren"
"1435","Rectum & rectosigmoid",10.4,12.3,9,16.5,5.4,13.3,8.5,19.9,5,11.3,7,17.5,4.6,4.8,3,7.6,1.8,4.2,1.8,8.6,2.8,5.2,2.8,9.4,"Warren"
"1436","Liver / intrahepatic bile duct",6.6,6.1,4.1,8.8,5.4,10.3,6.7,15.6,1.2,2.2,0.8,5.4,5.8,5.2,3.5,7.7,4.4,8.5,5.2,13.4,1.4,2.5,1,5.8,"Warren"
"1437","Pancreas",14.4,13.7,10.6,17.5,7.6,15.5,10.9,21.8,6.8,12,8.2,17.4,11.4,10.9,8.2,14.3,6.4,13.3,9,19.3,5,8.6,5.5,13.3,"Warren"
"1438","Larynx",5,5.3,3.3,8.1,3,6.6,3.6,11.5,2,4.1,1.8,8.4,2.2,2.3,1.1,4.4,1.6,3.7,1.5,7.8,0.6,0.9,0.2,3.7,"Warren"
"1439","Lung and bronchus",81.8,78.5,70.9,86.8,42,86.3,74.7,99.3,39.8,71.5,61.7,82.7,49.4,47.8,41.9,54.4,26,53.6,44.6,64.3,23.4,41.8,34.3,50.7,"Warren"
"1440","Melanoma of the skin",26.6,30.7,25.4,36.8,15.6,35.9,28.1,45.5,11,27.6,20.3,36.7,3,3,1.6,5.2,2.6,5.6,2.9,10.1,0.4,0.8,0.1,3.6,"Warren"
"1441","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,74.8,153.6,137.3,171.5,NA,NA,NA,NA,NA,NA,NA,NA,8.8,16,11.4,22.2,"Warren"
"1442","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,4.6,1.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,0.1,3.7,"Warren"
"1443","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,13.2,25.8,19.6,33.7,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2.8,8.9,"Warren"
"1444","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5,10.4,6.4,16.1,NA,NA,NA,NA,NA,NA,NA,NA,2.4,5.7,2.7,10.7,"Warren"
"1445","Prostate",NA,NA,NA,NA,58.8,117.7,104.4,132.6,NA,NA,NA,NA,NA,NA,NA,NA,9.4,21.2,15.5,28.7,NA,NA,NA,NA,"Warren"
"1446","Testis",NA,NA,NA,NA,2,7.3,3.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.4,0.3,4.7,NA,NA,NA,NA,"Warren"
"1447","Urinary bladder (incl. in situ)",27.4,26.1,21.9,31.1,19.6,42,34,51.7,7.8,12.9,9.1,18.2,6.6,6.5,4.5,9.4,4.2,9.8,6,15.4,2.4,4.1,2.1,7.8,"Warren"
"1448","Kidney and renal pelvis",17.8,18.3,14.5,22.9,10.6,23.7,17.5,31.8,7.2,12.9,8.9,18.6,4,3.8,2.3,6.2,2.4,5.3,2.7,9.7,1.6,2.8,1.2,6.3,"Warren"
"1449","Brain and other central nervous system",6.8,9.6,6.4,13.8,2.6,7.8,4,13.8,4.2,11.4,6.6,18.2,4.2,4.6,2.7,7.4,2.2,5.6,2.6,10.7,2,3.6,1.7,7.3,"Warren"
"1450","Thyroid",16,21.5,16.7,27.2,3.6,9,5.1,15,12.4,33.6,25.1,44.1,0.4,0.3,0,1.7,0.2,0.5,0,3.3,0.2,0.3,0,2.8,"Warren"
"1451","Hodgkin lymphoma",1.2,1.5,0.5,3.5,0.6,1.7,0.3,5.2,0.6,1.3,0.2,4.6,0.6,0.5,0.1,2,0.4,0.8,0.1,3.7,0.2,0.4,0,3,"Warren"
"1452","Non-Hodgkin lymphomas",24.6,24.5,20.2,29.6,13,28.3,21.6,36.7,11.6,21.6,16.2,28.6,6.6,6.7,4.6,9.7,3.2,7.6,4.2,12.9,3.4,6,3.5,10.3,"Warren"
"1453","Myeloma",10,9.7,7.1,13.1,5.2,10.9,6.9,16.6,4.8,8.6,5.4,13.3,3.2,2.9,1.7,5,1.6,3.1,1.3,6.8,1.6,2.4,1,5.6,"Warren"
"1454","Leukemias",15.4,15.9,12.4,20.2,9.2,21.4,15.5,29.2,6.2,10.9,7.3,16.1,8.8,8.8,6.3,12,5,11.1,7.1,16.8,3.8,7,4.1,11.5,"Warren"
"1455","All Invasive Malignant Tumors",433.4,508.3,486.4,531,230.2,556.7,524,591,203.2,475.7,445.3,507.7,141.8,163,151,175.9,75.6,189.9,170.7,210.7,66.2,142.3,126.8,159.3,"Washington"
"1456","Oral cavity and pharynx",11.2,12.6,9.4,16.5,7.8,17.7,12.5,24.7,3.4,7.6,4.3,12.8,2.2,2.7,1.3,5.1,1.4,3.5,1.3,7.7,0.8,1.6,0.4,4.9,"Washington"
"1457","Esophagus",5,5.6,3.6,8.4,3.6,8,4.7,13.1,1.4,3.2,1.2,7.2,4.2,5,3,7.9,2.6,6.6,3.5,11.6,1.6,4.1,1.6,8.6,"Washington"
"1458","Stomach",5.6,6.8,4.4,10.2,3.8,9.4,5.5,15.2,1.8,4.1,1.7,8.5,1.6,1.9,0.8,4,1.2,3.1,1,7.1,0.4,0.7,0.1,3.7,"Washington"
